id;url;Perfume;Brand;Country;Gender;RatingValue;RatingCount;releaseYear;PerfumeTop;PerfumeMiddle;PerfumeBase;Perfumer1;Perfumer2;MainAccord1;MainAccord2;MainAccord3;MainAccord4;MainAccord5;caminho_imagem_local;Perfumes-seletos;Longevidade;Sillage;Genero;Genero_Voto;Preco_Voto;Imagem_URL
2;https://www.fragrantica.com/perfume/jean-paul-gaultier/classique-pride-2024-90394.html;classique-pride-2024;jean-paul-gaultier;France;women;186;70;20240.0;yuzu, citruses;orange blossom, neroli;musk, blonde woods;unknown;;citrus;white floral;sweet;fresh;musky;downloaded_images\2_classique_pride_2024.jpg;jean-paul-gaultier;N/A;N/A;Feminino;N/A;N/A;N/A
3;https://www.fragrantica.com/perfume/jean-paul-gaultier/classique-pride-2023-81775.html;classique-pride-2023;jean-paul-gaultier;France;unisex;191;285;20230.0;blood orange, yuzu;neroli, orange blossom;musk, white woods;natalie gracia-cetto;quentin bisch;citrus;white floral;sweet;fresh spicy;musky;downloaded_images\3_classique_pride_2023.jpg;jean-paul-gaultier;ERRO;Intimate;Unissex;;;
5;https://www.fragrantica.com/perfume/jean-paul-gaultier/le-male-pride-collector-60765.html;le-male-pride-collector;jean-paul-gaultier;France;men;193;632;20200.0;mint, lavender, cardamom, artemisia, bergamot;caraway, cinnamon, orange blossom;vanilla, sandalwood, amber, cedar, tonka bean;francis kurkdjian;;aromatic;warm spicy;fresh spicy;cinnamon;vanilla;downloaded_images\5_le_male_pride_collector.jpg;jean-paul-gaultier;ERRO;Moderate;Masculino;;;
6;https://www.fragrantica.com/perfume/jean-paul-gaultier/le-male-pride-2023-81774.html;le-male-pride-2023;jean-paul-gaultier;France;men;195;531;20230.0;yuzu, blood orange;neroli, orange blossom;musk, white woods;unknown;;citrus;white floral;sweet;fresh spicy;green;downloaded_images\6_le_male_pride_2023.jpg;jean-paul-gaultier;ERRO;Intimate;Unissex;;;
7;https://www.fragrantica.com/perfume/jean-paul-gaultier/le-male-pride-2024-90393.html;le-male-pride-2024;jean-paul-gaultier;France;men;195;285;20240.0;citruses, yuzu;neroli, orange blossom;woodsy notes, musk;unknown;;white floral;citrus;fresh;soapy;;downloaded_images\7_le_male_pride_2024.jpg;jean-paul-gaultier;ERRO;Moderate;Masculino;;;
11;https://www.fragrantica.com/perfume/jean-paul-gaultier/le-male-pride-edition-73607.html;le-male-pride-edition;jean-paul-gaultier;France;men;253;662;20220.0;blood orange, yuzu;neroli, orange blossom;musk, white woods;natalie gracia-cetto;quentin bisch;citrus;white floral;fresh spicy;sweet;musky;downloaded_images\11_le_male_pride_edition.jpg;jean-paul-gaultier;ERRO;Intimate;Unissex;;;
18;https://www.fragrantica.com/perfume/o-boticario/glamour-gold-glam-75017.html;glamour-gold-glam;o-boticario;Brazil;women;269;118;20220.0;raspberry, neroli, bergamot;jasmine, orange blossom, tuberose;clearwood, amber, sandalwood, patchouli, cistus incanus;adilson rato;;woody;white floral;fruity;sweet;amber;downloaded_images\18_glamour_gold_glam.jpg;o-boticario;ERRO;Intimate;Feminino;;;
21;https://www.fragrantica.com/perfume/o-boticario/malbec-sport-41727.html;malbec-sport;o-boticario;Brazil;men;272;299;20160.0;nutmeg, cardamom, lime, bergamot, mandarin orange, juniper;lavender, geranium, head space waterfall, sage;leather, patchouli, sandalwood, musk, amber, cedar, moss, vetiver, tonka bean;francisco marano;;leather;fresh spicy;warm spicy;woody;aromatic;downloaded_images\21_malbec_sport.jpg;o-boticario;ERRO;Strong;Masculino;;;
23;https://www.fragrantica.com/perfume/jean-paul-gaultier/classique-pride-edition-73288.html;classique-pride-edition;jean-paul-gaultier;France;women;275;174;20220.0;yuzu, blood orange;neroli, orange blossom;musk, white wood;natalie gracia-cetto;quentin bisch;citrus;white floral;musky;woody;fresh spicy;downloaded_images\23_classique_pride_edition.jpg;jean-paul-gaultier;ERRO;Intimate;Feminino;;;
29;https://www.fragrantica.com/perfume/in-the-box/aventhis-64328.html;aventhis;in-the-box;Brazil;men;283;65;20190.0;bergamot, pineapple, apple, black currant leaf;birch, patchouli, red berries, jasmine;oakmoss, musk, amber, vanilla;unknown;;fruity;mossy;woody;earthy;citrus;downloaded_images\29_aventhis.jpg;in-the-box;ERRO;Strong;Masculino;;;
